FalsePositive,TruePositive,Thresholds,AUC
0.0,0.0,2.0,0.8086935981868184
0.01361573373676248,0.18587360594795538,1.0,0.8086935981868184
0.015128593040847202,0.20631970260223048,0.99999994,0.8086935981868184
0.01664145234493192,0.2211895910780669,0.9999999,0.8086935981868184
0.01664145234493192,0.22862453531598512,0.9999998,0.8086935981868184
0.01664145234493192,0.2342007434944238,0.99999976,0.8086935981868184
0.01664145234493192,0.2379182156133829,0.9999996,0.8086935981868184
0.01664145234493192,0.24349442379182157,0.9999995,0.8086935981868184
0.01664145234493192,0.24721189591078066,0.9999993,0.8086935981868184
0.019667170953101363,0.25092936802973975,0.99999905,0.8086935981868184
0.019667170953101363,0.25464684014869887,0.999999,0.8086935981868184
0.02118003025718608,0.25464684014869887,0.9999989,0.8086935981868184
0.024205748865355523,0.25650557620817843,0.9999988,0.8086935981868184
0.024205748865355523,0.26022304832713755,0.9999987,0.8086935981868184
0.024205748865355523,0.30297397769516726,0.99999124,0.8086935981868184
0.025718608169440244,0.3048327137546468,0.99998975,0.8086935981868184
0.025718608169440244,0.3345724907063197,0.9999457,0.8086935981868184
0.02723146747352496,0.3345724907063197,0.99994427,0.8086935981868184
0.02723146747352496,0.3382899628252788,0.9999384,0.8086935981868184
0.028744326777609682,0.3382899628252788,0.9999293,0.8086935981868184
0.028744326777609682,0.3475836431226766,0.9998661,0.8086935981868184
0.030257186081694403,0.3475836431226766,0.99983525,0.8086935981868184
0.030257186081694403,0.34944237918215615,0.99982834,0.8086935981868184
0.03177004538577912,0.34944237918215615,0.9998204,0.8086935981868184
0.03177004538577912,0.3550185873605948,0.999731,0.8086935981868184
0.03328290468986384,0.3550185873605948,0.9997278,0.8086935981868184
0.03328290468986384,0.35687732342007433,0.9997232,0.8086935981868184
0.03479576399394856,0.35687732342007433,0.9997229,0.8086935981868184
0.03479576399394856,0.3587360594795539,0.9996807,0.8086935981868184
0.036308623298033284,0.3587360594795539,0.9996674,0.8086935981868184
0.036308623298033284,0.362453531598513,0.99927056,0.8086935981868184
0.037821482602118005,0.362453531598513,0.99926823,0.8086935981868184
0.037821482602118005,0.3680297397769517,0.99869925,0.8086935981868184
0.039334341906202726,0.3680297397769517,0.99857914,0.8086935981868184
0.039334341906202726,0.37732342007434944,0.99814373,0.8086935981868184
0.04084720121028744,0.37732342007434944,0.9977251,0.8086935981868184
0.04084720121028744,0.4144981412639405,0.97375125,0.8086935981868184
0.04236006051437216,0.4144981412639405,0.97336644,0.8086935981868184
0.04236006051437216,0.4163568773234201,0.96758604,0.8086935981868184
0.0453857791225416,0.4163568773234201,0.9621087,0.8086935981868184
0.0453857791225416,0.4200743494423792,0.9546981,0.8086935981868184
0.05143721633888049,0.4200743494423792,0.9485051,0.8086935981868184
0.05143721633888049,0.4312267657992565,0.9233655,0.8086935981868184
0.0529500756429652,0.4312267657992565,0.91198254,0.8086935981868184
0.0529500756429652,0.43308550185873607,0.9024735,0.8086935981868184
